Source,Target,Weight
寶玉,黛玉,3076
寶玉,探春,784
寶玉,迎春,193
寶玉,惜春,316
寶玉,寶釵,2941
寶玉,秦氏,94
寶玉,李紈,506
寶玉,鳳姐,1812
寶玉,元春,23
寶玉,湘雲,902
寶玉,巧姐,128
寶玉,妙玉,421
黛玉,寶玉,3076
黛玉,鳳姐,314
黛玉,迎春,114
黛玉,探春,440
黛玉,惜春,99
黛玉,李紈,342
黛玉,寶釵,1193
黛玉,元春,5
黛玉,湘雲,558
黛玉,巧姐,5
黛玉,妙玉,115
黛玉,秦氏,1
元春,迎春,3
元春,探春,6
元春,惜春,3
元春,寶玉,23
元春,黛玉,5
元春,寶釵,15
元春,湘雲,2
元春,鳳姐,2
迎春,元春,3
迎春,探春,154
迎春,惜春,49
迎春,黛玉,114
迎春,鳳姐,138
迎春,寶玉,193
迎春,寶釵,145
迎春,李紈,56
迎春,湘雲,60
迎春,巧姐,4
迎春,妙玉,6
迎春,秦氏,2
探春,元春,6
探春,迎春,154
探春,惜春,110
探春,黛玉,440
探春,鳳姐,513
探春,寶玉,784
探春,寶釵,373
探春,李紈,347
探春,湘雲,241
探春,巧姐,6
惜春,元春,3
惜春,迎春,49
惜春,探春,110
惜春,黛玉,99
惜春,鳳姐,211
惜春,寶玉,316
惜春,寶釵,132
惜春,湘雲,65
惜春,李紈,114
惜春,巧姐,4
惜春,妙玉,243
鳳姐,黛玉,314
鳳姐,迎春,138
鳳姐,探春,513
鳳姐,惜春,211
鳳姐,李紈,336
鳳姐,寶玉,1812
鳳姐,秦氏,109
鳳姐,寶釵,465
鳳姐,湘雲,272
鳳姐,巧姐,164
鳳姐,妙玉,16
鳳姐,元春,2
李紈,黛玉,342
李紈,寶玉,506
李紈,迎春,56
李紈,探春,347
李紈,鳳姐,336
李紈,寶釵,294
李紈,湘雲,237
李紈,惜春,114
李紈,巧姐,5
李紈,妙玉,15
寶釵,黛玉,1193
寶釵,迎春,145
寶釵,寶玉,2941
寶釵,探春,373
寶釵,惜春,132
寶釵,秦氏,1
寶釵,鳳姐,465
寶釵,李紈,294
寶釵,元春,15
寶釵,湘雲,649
寶釵,巧姐,44
寶釵,妙玉,113
秦氏,寶玉,94
秦氏,鳳姐,109
秦氏,寶釵,1
秦氏,迎春,2
秦氏,黛玉,1
妙玉,寶玉,421
妙玉,寶釵,113
妙玉,黛玉,115
妙玉,李紈,15
妙玉,鳳姐,16
妙玉,湘雲,14
妙玉,惜春,243
妙玉,迎春,6
湘雲,寶玉,902
湘雲,寶釵,649
湘雲,元春,2
湘雲,探春,241
湘雲,迎春,60
湘雲,惜春,65
湘雲,黛玉,558
湘雲,李紈,237
湘雲,鳳姐,272
湘雲,妙玉,14
湘雲,巧姐,3
巧姐,寶釵,44
巧姐,迎春,4
巧姐,探春,6
巧姐,惜春,4
巧姐,李紈,5
巧姐,鳳姐,164
巧姐,寶玉,128
巧姐,黛玉,5
巧姐,湘雲,3
